Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/25/2025,11/26/2025,AMAZON MKTPL*B246W95S1,Shopping,Sale,-10.83,
11/25/2025,11/26/2025,AMAZON MKTPL*B280T3TZ0,Shopping,Sale,-46.42,
11/23/2025,11/24/2025,Amazon.com*B255L34T2,Shopping,Sale,-49.46,
11/19/2025,11/20/2025,GOOGLE *Google One,Entertainment,Sale,-2.19,
11/18/2025,11/19/2025,AMAZON MKTPL*B09536L10,Shopping,Sale,-537.22,
11/18/2025,11/18/2025,AMAZON MKTPL*B01IA6OJ0,Shopping,Sale,-215.40,
11/13/2025,11/14/2025,Amazon.com*B81780OQ2,Shopping,Sale,-41.28,
11/09/2025,11/10/2025,GOOGLE *ChatGPT,Shopping,Sale,-22.03,
11/09/2025,11/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
11/06/2025,11/07/2025,AMAZON MKTPL*BT3Y21T80,Shopping,Sale,-80.73,
11/06/2025,11/07/2025,AMAZON MKTPL*BT9ZV83F1,Shopping,Sale,-68.55,
11/03/2025,11/03/2025,Payment Thank You - Web,,Payment,1670.39,
11/01/2025,11/02/2025,Amazon.com*NK7B18VU0,Shopping,Sale,-5.89,
10/31/2025,11/02/2025,AMAZON MKTPL*NK9S53TI1,Shopping,Sale,-121.54,
10/31/2025,10/31/2025,AMAZON MKTPL*N43KB5DQ2,Shopping,Sale,-1149.20,
10/29/2025,10/30/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
10/19/2025,10/20/2025,GOOGLE *Google One,Entertainment,Sale,-2.19,
10/17/2025,10/17/2025,AUTOMATIC PAYMENT - THANK,,Payment,1368.72,
10/17/2025,10/17/2025,Amazon.com*NM9AP9YW0,Shopping,Sale,-36.31,
10/09/2025,10/10/2025,GOOGLE *ChatGPT,Entertainment,Sale,-22.03,
10/09/2025,10/10/2025,AMAZON MKTPL*NF6KA7KY0,Shopping,Sale,-96.19,
10/09/2025,10/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
10/06/2025,10/07/2025,AMAZON MKTPL*NF8RJ4ZI0,Shopping,Sale,-34.00,
10/06/2025,10/07/2025,AMAZON MKTPL*NF4ML1ZM0,Shopping,Sale,-79.62,
10/06/2025,10/06/2025,AMAZON MKTPL*NV6DY4T52,Shopping,Sale,-27.59,
10/01/2025,10/02/2025,AMAZON MKTPL*NV0G60VG0,Shopping,Sale,-31.80,
09/29/2025,09/30/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
09/19/2025,09/21/2025,GOOGLE *Google One,Entertainment,Sale,-2.19,
09/18/2025,09/19/2025,AMAZON MKTPL*XD89N6B03,Shopping,Sale,-48.45,
09/18/2025,09/19/2025,AMAZON MKTPL*NV5DM0TN3,Shopping,Sale,-28.02,
09/18/2025,09/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,1408.41,
09/14/2025,09/15/2025,AMAZON MKTPL*NK9XC2J53,Shopping,Sale,-65.24,
09/12/2025,09/12/2025,Amazon.com*DP50240L3,Shopping,Sale,-7.70,
09/10/2025,09/11/2025,AMAZON MKTPL*149SA5D13,Shopping,Sale,-44.20,
09/09/2025,09/10/2025,Amazon.com*8D41261K3,Shopping,Sale,-39.76,
09/09/2025,09/10/2025,AMAZON MKTPL*XM18X2A63,Shopping,Sale,-28.99,
09/09/2025,09/10/2025,AMAZON MKTPL*C90MF0M53,Shopping,Sale,-82.94,
09/09/2025,09/10/2025,GOOGLE *ChatGPT,Entertainment,Sale,-22.03,
09/09/2025,09/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
09/09/2025,09/09/2025,AMAZON MKTPL*XJ9OI0UW3,Shopping,Sale,-56.88,
09/09/2025,09/09/2025,AMAZON MKTPL*L836B8DB3,Shopping,Sale,-213.41,
09/05/2025,09/07/2025,AMAZON MKTPL*9A11L4YM3,Shopping,Sale,-129.65,
09/03/2025,09/04/2025,AMAZON MKTPL*IM4S544B3,Shopping,Sale,-42.84,
08/29/2025,08/31/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
08/28/2025,08/29/2025,AMAZON MKTPL*OI1B42RC3,Shopping,Sale,-8.62,
08/28/2025,08/29/2025,AMAZON MKTPL*R26GF2013,Shopping,Sale,-24.43,
08/28/2025,08/29/2025,B2B Prime*YH5FQ9JG3,Bills & Utilities,Sale,-197.97,
