Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/19/2025,11/20/2025,Netflix.com,Bills & Utilities,Sale,-27.64,
11/05/2025,11/06/2025,WALGREENS #6307,Health & Wellness,Sale,-16.63,
11/03/2025,11/03/2025,Payment Thank You - Web,,Payment,516.68,
10/27/2025,10/31/2025,Returned Payment,,Reversal,-391.20,
10/27/2025,10/27/2025,Payment Thank You - 2nd A,,Payment,391.20,
10/27/2025,10/27/2025,PURCH INTEREST DEBIT ADJ,Fees & Adjustments,Fee,-1.16,
10/22/2025,10/27/2025,Returned Payment,,Reversal,-391.20,
10/22/2025,10/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,391.20,
10/19/2025,10/20/2025,Netflix.com,Bills & Utilities,Sale,-27.64,
10/16/2025,10/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-56.01,
10/09/2025,10/12/2025,MUKILTEO SCHOOL DISTRICT,Education,Sale,-25.00,
10/09/2025,10/10/2025,ARCO#83186ARCO GAS,Gas,Sale,-15.67,
09/22/2025,09/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,128.23,
09/19/2025,09/21/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
09/16/2025,09/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-44.09,
09/08/2025,09/09/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-319.47,
08/22/2025,08/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,463.09,
08/19/2025,08/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
08/15/2025,08/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-54.91,
08/13/2025,08/15/2025,JACK IN THE BOX 8344,Food & Drink,Sale,-17.66,
08/13/2025,08/14/2025,QFC #5832,Groceries,Sale,-28.02,
07/22/2025,07/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,552.64,
07/19/2025,07/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
07/16/2025,07/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-70.09,
07/07/2025,07/08/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-299.01,
06/28/2025,06/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
06/22/2025,06/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,760.64,
06/19/2025,06/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
06/16/2025,06/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-107.60,
06/09/2025,06/10/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-167.45,
06/08/2025,06/10/2025,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-77.00,
06/04/2025,06/05/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
05/28/2025,05/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
05/22/2025,05/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,635.80,
